attend,termgpa,priGPA,ACT,final,atndrte,hwrte,frosh,soph,skipped,tndfnl,randnum,id
30,2.88000011444092,2.36999988555908,23,30,93.75,75,1,0,2,0.892857074737549,0.187202453613281,27
25,3.26999998092651,2.9300000667572,22,27,78.125,100,0,1,7,0.262605011463165,0.623122751712799,28
27,3.28999996185303,2.01999998092651,28,30,84.375,87.5,1,0,5,0.892857074737549,0.85948646068573,29
27,2.55999994277954,2.77999997138977,21,26,84.375,100,0,0,5,0.052521001547575,0.457909375429153,30
23,3.25,2.84999990463257,29,25,71.875,62.5,0,0,9,-0.157563000917435,0.604803144931793,31
32,2.71000003814697,2.27999997138977,22,28,100,100,0,1,0,0.472689092159271,0.772761762142181,32
31,2.85999989509583,3.46000003814697,16,27,96.875,100,0,1,1,0.262605011463165,0.622438907623291,33
25,2.5,2.63000011444092,25,23,78.125,100,0,1,7,-0.577731072902679,0.455375343561173,34
18,2.15000009536743,2.19000005722046,22,32,56.25,62.5,0,1,14,1.31302499771118,0.437890231609345,35
32,3.5,3.5699999332428,21,32,100,87.5,0,1,0,1.31302499771118,0.589162826538086,36
31,2.16000008583069,1.98000001907349,18,26,96.875,100,1,0,1,0.052521001547575,0.51953935623169,37
24,2.40000009536743,3.04999995231628,26,19,75,25,0,1,8,-1.41806697845459,0.35698077082634,38
31,3.53999996185303,3.45000004768372,25,31,96.875,100,0,1,1,1.10294103622437,0.195292890071869,39
31,3.65000009536743,2.63000011444092,23,31,96.875,100,0,1,1,1.10294103622437,0.76256537437439,40
32,2.5,2.61999988555908,24,19,100,100,0,0,0,-1.41806697845459,0.256542533636093,41
25,2.11999988555908,2.13000011444092,18,24,78.125,87.5,0,1,7,-0.367647111415863,0.371857345104218,42
31,2.5,2.42000007629395,18,26,96.875,100,0,1,1,0.052521001547575,0.356599926948547,43
32,3.80999994277954,3.4300000667572,29,34,100,100,0,1,0,1.7331930398941,0.584935486316681,44
30,3.14000010490418,3.60999989509583,26,24,93.75,100,0,1,2,-0.367647111415863,0.431420236825943,45
30,3,2.85999989509583,24,29,93.75,87.5,0,1,2,0.682773113250732,0.598028957843781,46
10,1.21000003814697,2.04999995231628,30,29,31.25,,1,0,22,0.682773113250732,0.597767651081085,47
19,2.1800000667572,2.95000004768372,29,23,59.375,87.5,0,1,13,-0.577731072902679,0.432229399681091,48
17,2.09999990463257,2.3199999332428,23,27,53.125,100,0,1,15,0.262605011463165,0.623550713062286,49
27,2.0699999332428,2.29999995231628,21,25,84.375,87.5,0,1,5,-0.157563000917435,0.973216652870178,50
27,1.36000001430511,1.78999996185303,21,22,84.375,62.5,1,0,5,-0.78781521320343,0.311801642179489,51
27,3,2.29999995231628,21,30,84.375,87.5,0,1,5,0.892857074737549,0.960602283477783,52
28,1.96000003814697,2.48000001907349,20,21,87.5,100,0,1,4,-0.997899174690247,0.893997192382813,53
30,2.85999989509583,2.86999988555908,22,35,93.75,100,1,0,2,1.94327700138092,0.489892363548279,54
30,2.60999989509583,2.01999998092651,25,24,93.75,87.5,1,0,2,-0.367647111415863,0.911163866519928,55
30,2.71000003814697,2.66000008583069,21,23,93.75,87.5,0,1,2,-0.577731072902679,0.441788583993912,56
31,2.89000010490418,2.80999994277954,25,23,96.875,100,0,1,1,-0.577731072902679,0.523046612739563,57
26,2.85999989509583,2.33999991416931,21,28,81.25,100,0,0,6,0.472689092159271,0.855852782726288,58
25,2.34999990463257,2.52999997138977,27,31,78.125,50,0,1,7,1.10294103622437,0.311540246009827,59
24,2.64000010490418,2.08999991416931,19,21,75,100,0,1,8,-0.997899174690247,0.421377718448639,60
19,3.28999996185303,2.67000007629395,21,35,59.375,87.5,0,1,13,1.94327700138092,0.306532919406891,61
22,1.53999996185303,1.89999997615814,25,18,68.75,87.5,0,1,10,-1.6281510591507,0.532611012458801,62
28,3.3199999332428,2.79999995231628,21,21,87.5,100,1,0,4,-0.997899174690247,0.061122614890337,63
32,4,3.9300000667572,25,35,100,100,0,1,0,1.94327700138092,0.419097095727921,64
29,2.63000011444092,2.54999995231628,26,25,90.625,100,0,1,3,-0.157563000917435,0.800617396831513,65
19,2.38000011444092,2.17000007629395,21,22,59.375,75,1,0,13,-0.78781521320343,0.0884595140814781,66
20,1.29999995231628,1.58000004291534,18,21,62.5,62.5,0,1,12,-0.997899174690247,0.938522577285767,67
29,2.75999999046326,2.11999988555908,20,29,90.625,100,1,0,3,0.682773113250732,0.83438116312027,68
26,2.32999992370605,2.20000004768372,14,20,81.25,75,0,0,6,-1.20798301696777,0.58374035358429,69
26,2.64000010490418,2.01999998092651,27,29,81.25,12.5,1,0,6,0.682773113250732,0.404336750507355,70
23,2.30999994277954,3.45000004768372,23,25,71.875,62.5,0,1,9,-0.157563000917435,0.657106339931488,71
31,2.30999994277954,2.77999997138977,23,24,96.875,100,0,1,1,-0.367647111415863,0.0843409523367882,72
31,3.88000011444092,3.58999991416931,27,35,96.875,87.5,0,0,1,1.94327700138092,0.0990402549505234,73
29,2.38000011444092,2,15,19,90.625,100,1,0,3,-1.41806697845459,0.0556405261158943,74
31,3.22000002861023,3.58999991416931,27,25,96.875,100,0,1,1,-0.157563000917435,0.555270493030548,75
24,2.25999999046326,2.03999996185303,25,28,75,100,0,0,8,0.472689092159271,0.690049946308136,76
25,0.75,2.11999988555908,20,22,78.125,62.5,0,1,7,-0.78781521320343,0.993351519107819,77
30,2.84999990463257,3.34999990463257,20,28,93.75,75,0,1,2,0.472689092159271,0.187811285257339,78
32,1.64999997615814,2.41000008583069,19,25,100,62.5,1,0,0,-0.157563000917435,0.128802239894867,79
30,2.92000007629395,2.55999994277954,16,20,93.75,100,0,1,2,-1.20798301696777,0.265456765890121,80
23,2.5,2.35999989509583,20,26,71.875,75,0,1,9,0.052521001547575,0.258256316184998,81
24,2.14000010490417,2.58999991416931,25,25,75,62.5,0,1,8,-0.157563000917435,0.320181339979172,82
32,3.22000002861023,3.17000007629395,25,28,100,75,0,1,0,0.472689092159271,0.319312065839767,83
20,2.39000010490418,2.60999989509583,19,23,62.5,75,0,1,12,-0.577731072902679,0.706824243068695,84
26,3.15000009536743,2.95000004768372,18,27,81.25,100,0,1,6,0.262605011463165,0.408580005168915,85
27,1.75,2.20000004768372,20,26,84.375,87.5,0,1,5,0.052521001547575,0.381586194038391,86
24,1.75,2.51999998092651,28,25,75,75,0,0,8,-0.157563000917435,0.901331424713135,87
30,2.80999994277954,2.54999995231628,22,25,93.75,100,0,1,2,-0.157563000917435,0.339880347251892,88
31,3.04999995231628,2.90000009536743,25,27,96.875,100,0,1,1,0.262605011463165,0.858259320259094,89
23,2.26999998092651,2.52999997138977,26,21,71.875,75,0,1,9,-0.997899174690247,0.888842225074768,90
25,2.92000007629395,2.26999998092651,19,28,78.125,100,0,1,7,0.472689092159271,0.509213507175446,91
29,2.5,2.71000003814697,23,26,90.625,87.5,0,1,3,0.052521001547575,0.55459451675415,92
28,3.71000003814697,2,26,34,87.5,100,1,0,4,1.7331930398941,0.958814024925232,93
31,2.10999989509583,1.96000003814697,24,22,96.875,100,0,1,1,-0.78781521320343,0.866619765758514,94
31,3.27999997138977,2.46000003814697,18,34,96.875,100,0,0,1,1.7331930398941,0.470630675554276,95
23,1.60000002384186,2.1800000667572,20,27,71.875,100,0,1,9,0.262605011463165,0.239953026175499,96
25,3.32999992370605,3.04999995231628,23,30,78.125,100,0,1,7,0.892857074737549,0.626939356327057,97
28,2.03999996185303,2.47000002861023,22,23,87.5,100,1,0,4,-0.577731072902679,0.421043127775192,98
29,2.85999989509583,2.75999999046326,25,27,90.625,100,0,1,3,0.262605011463165,0.158009201288223,99
17,0.820999979972839,1.75,17,22,53.125,12.5,1,0,15,-0.78781521320343,0.432027399539948,100
28,2.46000003814697,2.74000000953674,21,30,87.5,87.5,0,1,4,0.892857074737549,0.129060968756676,101
32,4,3.0699999332428,19,35,100,100,0,1,0,1.94327700138092,0.808739483356476,102
20,1.36000001430511,1.9099999666214,22,21,62.5,75,0,0,12,-0.997899174690247,0.465133458375931,103
2,0,2.25,25,20,6.25,37.5,0,1,30,-1.20798301696777,0.48868453502655,104
21,1.83000004291534,2.02999997138977,17,22,65.625,50,0,0,11,-0.78781521320343,0.357176631689072,105
28,3.75,3.05999994277954,30,33,87.5,100,0,0,4,1.523108959198,0.698257803916931,106
26,1.64999997615814,2.25999999046326,17,30,81.25,75,1,0,6,0.892857074737549,0.376338511705399,107
24,3,3.19000005722046,28,20,75,100,0,1,8,-1.20798301696777,0.853244125843048,108
31,2.67000007629395,2.5699999332428,20,20,96.875,100,0,1,1,-1.20798301696777,0.918420553207397,109
29,2.86999988555908,2.74000000953674,17,30,90.625,100,0,0,3,0.892857074737549,0.723723471164703,110
21,2.30999994277954,2.17000007629395,22,23,65.625,100,1,0,11,-0.577731072902679,0.480423867702484,111
24,2.63000011444092,3.29999995231628,26,25,75,100,0,1,8,-0.157563000917435,0.332260072231293,112
20,1.83000004291534,2.52999997138977,27,27,62.5,62.5,0,1,12,0.262605011463165,0.128621116280556,113
30,2,2.0699999332428,23,19,93.75,87.5,0,1,2,-1.41806697845459,0.967358946800232,114
31,3.58999991416931,3.25,25,30,96.875,100,0,1,1,0.892857074737549,0.385879546403885,115
32,2.88000011444092,2.8199999332428,23,19,100,100,0,1,0,-1.41806697845459,0.520291328430176,116
23,1.92999994754791,2.45000004768372,20,31,71.875,87.5,0,1,9,1.10294103622437,0.366894572973251,117
30,2.70000004768372,3.01999998092651,20,28,93.75,100,0,1,2,0.472689092159271,0.192222520709038,118
28,2.69000005722046,2.83999991416931,23,21,87.5,87.5,0,1,4,-0.997899174690247,0.241174653172493,119
25,3.38000011444092,3.39000010490418,23,25,78.125,87.5,0,1,7,-0.157563000917435,0.856551766395569,120
28,2.5,0.85699999332428,18,30,87.5,100,0,1,4,0.892857074737549,0.329055577516556,121
24,3.52999997138977,2.30999994277954,32,32,75,100,0,0,8,1.31302499771118,0.372567176818848,122
26,2.15000009536743,2.96000003814697,16,20,81.25,100,0,1,6,-1.20798301696777,0.564711213111877,123
25,2.6800000667572,2.38000011444092,21,23,78.125,100,1,0,7,-0.577731072902679,0.123402483761311,124
27,2.71000003814697,2.15000009536743,20,24,84.375,100,0,1,5,-0.367647111415863,0.151261657476425,125
23,2.61999988555908,1.89999997615814,23,29,71.875,100,1,0,9,0.682773113250732,0.173689231276512,126
29,2.19000005722046,1.79999995231628,19,19,90.625,87.5,1,0,3,-1.41806697845459,0.856614649295807,127
22,2.6800000667572,1.74000000953674,21,29,68.75,100,0,1,10,0.682773113250732,0.389198035001755,128
28,2.75,2.22000002861023,21,26,87.5,62.5,0,1,4,0.052521001547575,0.651086151599884,129
25,1.60000002384186,2.49000000953674,21,19,78.125,50,0,0,7,-1.41806697845459,0.646381258964539,130
25,2.38000011444092,2.92000007629395,20,20,78.125,100,0,0,7,-1.20798301696777,0.312061578035355,131
27,2.29999995231628,1.98000001907349,22,27,84.375,87.5,0,0,5,0.262605011463165,0.684587001800537,132
23,3.35999989509583,1.83000004291534,17,30,71.875,100,1,0,9,0.892857074737549,0.0921358540654182,133
32,3.25,3.27999997138977,21,26,100,100,0,1,0,0.052521001547575,0.0536068342626095,134
27,1.5,1.98000001907349,16,23,84.375,62.5,1,0,5,-0.577731072902679,0.593497693538666,135
31,2.96000003814697,3.01999998092651,19,25,96.875,87.5,0,1,1,-0.157563000917435,0.613034427165985,136
25,3.09999990463257,2.86999988555908,26,20,78.125,62.5,0,1,7,-1.20798301696777,0.902580618858337,137
26,2.03999996185303,2.75,19,26,81.25,100,0,1,6,0.052521001547575,0.905618965625763,138
29,3.21000003814697,3.45000004768372,30,31,90.625,100,0,1,3,1.10294103622437,0.611932814121246,139
28,3.11999988555908,3.21000003814697,24,22,87.5,100,0,1,4,-0.78781521320343,0.385872513055801,140
30,1.5,2.4300000667572,18,32,93.75,100,0,0,2,1.31302499771118,0.64709347486496,141
29,1.96000003814697,2.55999994277954,23,16,90.625,75,1,0,3,-2.04831910133362,0.148330301046371,142
29,3.33999991416931,3.42000007629395,22,24,90.625,100,0,1,3,-0.367647111415863,0.102331720292568,143
28,2.90000009536743,2.4300000667572,21,22,87.5,100,0,1,4,-0.78781521320343,0.621362388134003,144
32,3.65000009536743,3.49000000953674,23,31,100,100,0,0,0,1.10294103622437,0.219515785574913,145
25,3.02999997138977,2.33999991416931,22,25,78.125,75,0,1,7,-0.157563000917435,0.278856575489044,146
28,2.6800000667572,2.48000001907349,28,27,87.5,62.5,1,0,4,0.262605011463165,0.393475919961929,147
28,2.4300000667572,3.21000003814697,23,26,87.5,75,1,0,4,0.052521001547575,0.984824657440186,148
24,1.5,2.09999990463257,17,24,75,100,0,1,8,-0.367647111415863,0.585057139396668,149
29,2.97000002861023,2.8199999332428,25,28,90.625,100,0,1,3,0.472689092159271,0.814683616161346,150
30,3.71000003814697,3.22000002861023,27,37,93.75,87.5,0,1,2,2.36344504356384,0.203906983137131,151
29,2.26999998092651,2.09999990463257,19,21,90.625,100,0,1,3,-0.997899174690247,0.662086069583893,152
28,2.6800000667572,1.66999995708466,22,31,87.5,87.5,1,0,4,1.10294103622437,0.648295223712921,153
25,3.63000011444092,3.64000010490418,26,32,78.125,100,0,1,7,1.31302499771118,0.849804282188416,154
30,2.58999991416931,2.45000004768372,25,29,93.75,100,0,1,2,0.682773113250732,0.695031225681305,155
32,2.76999998092651,2.52999997138977,20,29,100,100,0,0,0,0.682773113250732,0.313776820898056,156
29,3.29999995231628,2.39000010490418,16,27,90.625,100,1,0,3,0.262605011463165,0.514836132526398,157
28,2.13000011444092,2.63000011444092,20,23,87.5,87.5,1,0,4,-0.577731072902679,0.728787541389465,158
24,2.34999990463257,2.53999996185303,24,30,75,87.5,0,0,8,0.892857074737549,0.607551097869873,159
26,3.46000003814697,3.53999996185303,27,29,81.25,100,0,1,6,0.682773113250732,0.525748908519745,160
3,2.07999992370605,1.85000002384186,22,23,9.375,87.5,0,1,29,-0.577731072902679,0.768682539463043,161
15,3.04999995231628,2.44000005722046,24,32,46.875,75,0,0,17,1.31302499771118,0.489292472600937,162
31,3.54999995231628,3.30999994277954,22,28,96.875,100,0,1,1,0.472689092159271,0.765355885028839,163
25,2.13000011444092,2.34999990463257,20,30,78.125,50,0,1,7,0.892857074737549,0.514320373535156,164
27,2.38000011444092,2.22000002861023,20,22,84.375,100,0,0,5,-0.78781521320343,0.368297934532166,165
27,3.73000001907349,3.20000004768372,25,37,84.375,100,0,0,5,2.36344504356384,0.571792185306549,166
27,2.13000011444092,2.57999992370605,21,17,84.375,100,0,1,5,-1.83823502063751,0.492128521203995,167
29,3.71000003814697,3.60999989509583,26,31,90.625,100,0,1,3,1.10294103622437,0.363491535186768,168
32,2.54999995231628,2.46000003814697,18,24,100,75,1,0,0,-0.367647111415863,0.230999499559402,169
23,3.13000011444092,3.33999991416931,28,26,71.875,100,0,0,9,0.052521001547575,0.18652106821537,170
32,3.19000005722046,3.13000011444092,17,23,100,87.5,1,0,0,-0.577731072902679,0.217027202248573,171
28,2.58999991416931,2.78999996185303,26,28,87.5,100,0,1,4,0.472689092159271,0.898640334606171,172
31,2.78999996185303,2.35999989509583,23,27,96.875,100,1,0,1,0.262605011463165,0.119414702057838,173
25,3,3.28999996185303,28,30,78.125,100,0,1,7,0.892857074737549,0.273556172847748,174
30,2.75,2.36999988555908,20,24,93.75,87.5,1,0,2,-0.367647111415863,0.55794107913971,175
24,3.25,3.5699999332428,29,30,75,100,0,1,8,0.892857074737549,0.69685024023056,176
22,0.699999988079071,2.0699999332428,28,28,68.75,12.5,1,0,10,0.472689092159271,0.639168620109558,177
31,3.21000003814697,3.20000004768372,27,30,96.875,100,1,0,1,0.892857074737549,0.730634927749634,178
16,1.80999994277954,1.98000001907349,23,25,50,,1,0,16,-0.157563000917435,0.780055284500122,179
28,3.21000003814697,2.79999995231628,22,22,87.5,100,0,1,4,-0.78781521320343,0.37623730301857,180
31,3,2.98000001907349,18,22,96.875,100,0,1,1,-0.78781521320343,0.79527473449707,181
21,1.85000002384186,2.84999990463257,22,21,65.625,75,0,0,11,-0.997899174690247,0.773540616035461,182
9,2,1.95000004768372,20,26,28.125,37.5,1,0,23,0.052521001547575,0.208358153700829,183
24,1.35000002384186,1.88999998569489,21,22,75,75,1,0,8,-0.78781521320343,0.578721940517426,184
31,3.03999996185303,3.28999996185303,19,32,96.875,100,1,0,1,1.31302499771118,0.819202721118927,185
28,3.1800000667572,2.75999999046326,25,26,87.5,100,1,0,4,0.052521001547575,0.422906577587128,186
26,3.35999989509583,1.77999997138977,23,34,81.25,100,0,1,6,1.7331930398941,0.235800519585609,187
31,3,2.89000010490418,20,26,96.875,100,0,1,1,0.052521001547575,0.393628001213074,188
20,2.88000011444092,1.95000004768372,25,26,62.5,87.5,0,1,12,0.052521001547575,0.630388915538788,189
23,3.03999996185303,2.48000001907349,27,30,71.875,100,0,1,9,0.892857074737549,0.186585694551468,190
29,2.73000001907349,2.29999995231628,16,24,90.625,100,1,0,3,-0.367647111415863,0.225258097052574,191
32,2.77999997138977,1.86000001430511,21,34,100,87.5,1,0,0,1.7331930398941,0.560801208019257,192
32,2.96000003814697,2.70000004768372,24,30,100,87.5,0,1,0,0.892857074737549,0.185812324285507,193
29,2.25,2.27999997138977,15,26,90.625,87.5,1,0,3,0.052521001547575,0.360678255558014,194
28,2.10999989509583,2.69000005722046,19,19,87.5,87.5,0,1,4,-1.41806697845459,0.280462056398392,195
31,3.26999998092651,2.47000002861023,25,34,96.875,100,0,0,1,1.7331930398941,0.146654024720192,196
28,2.23000001907349,2.67000007629395,19,22,87.5,100,1,0,4,-0.78781521320343,0.27194756269455,197
31,2.94000005722046,2.40000009536743,22,22,96.875,100,1,0,1,-0.78781521320343,0.0968465134501457,198
30,4,3.45000004768372,30,36,93.75,100,0,0,2,2.15336108207703,0.346693515777588,199
27,2.3199999332428,2.34999990463257,21,27,84.375,87.5,1,0,5,0.262605011463165,0.714607954025269,200
25,3.41000008583069,2.92000007629395,23,24,78.125,100,0,0,7,-0.367647111415863,0.821209907531738,201
27,2.28999996185303,2.73000001907349,18,26,84.375,100,0,1,5,0.052521001547575,0.154789984226227,202
25,1.53999996185303,2.6800000667572,19,22,78.125,87.5,0,1,7,-0.78781521320343,0.526193916797638,203
32,3.55999994277954,3.51999998092651,23,31,100,100,0,1,0,1.10294103622437,0.799296736717224,204
10,1,1.4099999666214,23,20,31.25,12.5,1,0,22,-1.20798301696777,0.60599946975708,205
25,2.94000005722046,2.94000005722046,20,30,78.125,100,0,0,7,0.892857074737549,0.523206353187561,206
31,3.14000010490418,3.3199999332428,23,22,96.875,100,0,1,1,-0.78781521320343,0.922199606895447,207
27,2.23000001907349,2.13000011444092,24,26,84.375,100,1,0,5,0.052521001547575,0.87969172000885,208
30,3.79999995231628,3.10999989509583,24,29,93.75,100,0,1,2,0.682773113250732,0.410047262907028,209
32,3.53999996185303,2.94000005722046,16,22,100,100,1,0,0,-0.78781521320343,0.612816393375397,210
31,3.75,3.52999997138977,26,31,96.875,100,0,1,1,1.10294103622437,0.702366948127747,211
32,3.5,2.82999992370605,22,27,100,100,0,1,0,0.262605011463165,0.49546691775322,212
29,2.61999988555908,2.66000008583069,26,23,90.625,87.5,0,1,3,-0.577731072902679,0.300417393445969,213
24,1.75999999046326,2.11999988555908,23,26,75,50,0,1,8,0.052521001547575,0.243700787425041,214
21,2.35999989509583,2.20000004768372,19,22,65.625,87.5,0,1,11,-0.78781521320343,0.367009043693543,215
21,2.46000003814697,2.25,26,24,65.625,100,1,0,11,-0.367647111415863,0.497781723737717,216
32,3.73000001907349,3.22000002861023,28,32,100,100,0,1,0,1.31302499771118,0.0668055415153503,217
32,2.60999989509583,2.66000008583069,17,31,100,87.5,0,1,0,1.10294103622437,0.205916211009026,218
28,2.63000011444092,2.41000008583069,20,25,87.5,100,0,1,4,-0.157563000917435,0.296815931797028,219
28,3.07999992370605,2.58999991416931,19,27,87.5,100,0,1,4,0.262605011463165,0.268246680498123,220
30,1.37999999523163,2.54999995231628,19,17,93.75,100,0,1,2,-1.83823502063751,0.634437143802643,221
30,3.53999996185303,3.48000001907349,28,29,93.75,100,0,1,2,0.682773113250732,0.33510434627533,222
28,3.15000009536743,2.91000008583069,23,26,87.5,87.5,1,0,4,0.052521001547575,0.536881744861603,223
29,2.21000003814697,2.27999997138977,18,26,90.625,100,0,1,3,0.052521001547575,0.590082406997681,224
32,3.09999990463257,2.94000005722046,23,25,100,100,0,0,0,-0.157563000917435,0.355126738548279,225
26,2.61999988555908,3.10999989509583,27,24,81.25,100,0,1,6,-0.367647111415863,0.344997107982636,226
31,2.40000009536743,2.69000005722046,23,28,96.875,100,1,0,1,0.472689092159271,0.753237903118134,227
30,3.59999990463257,3.35999989509583,28,21,93.75,100,0,1,2,-0.997899174690247,0.594395816326141,228
26,2.03999996185303,2.11999988555908,22,32,81.25,100,0,1,6,1.31302499771118,0.624694585800171,229
29,3.11999988555908,2.41000008583069,23,28,90.625,100,0,0,3,0.472689092159271,0.457674980163574,230
28,3.19000005722046,2.29999995231628,19,22,87.5,100,0,1,4,-0.78781521320343,0.705314934253693,231
25,1.97000002861023,2.0699999332428,24,24,78.125,100,0,1,7,-0.367647111415863,0.321869671344757,232
32,3,3.1800000667572,25,33,100,100,0,1,0,1.523108959198,0.995579302310944,233
31,3.35999989509583,2.61999988555908,27,28,96.875,100,1,0,1,0.472689092159271,0.262724488973618,234
24,1.78999996185303,1.74000000953674,24,25,75,100,1,0,8,-0.157563000917435,0.669948220252991,235
27,2.97000002861023,3.15000009536743,28,27,84.375,100,0,1,5,0.262605011463165,0.649144113063812,236
29,3.16000008583069,2.83999991416931,20,26,90.625,87.5,0,1,3,0.052521001547575,0.27854523062706,237
26,2.5,2.0699999332428,23,22,81.25,75,0,1,6,-0.78781521320343,0.173259884119034,238
22,1.71000003814697,2.13000011444092,20,21,68.75,87.5,0,1,10,-0.997899174690247,0.614619612693787,239
29,2.73000001907349,2.54999995231628,24,27,90.625,100,0,1,3,0.262605011463165,0.8574658036232,240
29,3.57999992370605,2.78999996185303,28,30,90.625,100,0,0,3,0.892857074737549,0.740762412548065,241
27,2.21000003814697,2.39000010490418,20,26,84.375,100,0,1,5,0.052521001547575,0.233333796262741,242
18,1.75,2.19000005722046,22,21,56.25,62.5,0,1,14,-0.997899174690247,0.327828466892242,243
27,2.10999989509583,2.14000010490417,20,23,84.375,100,0,1,5,-0.577731072902679,0.879325926303864,244
29,4,3.83999991416931,28,37,90.625,87.5,0,1,3,2.36344504356384,0.556718587875366,245
23,3.14000010490418,3.21000003814697,22,24,71.875,87.5,0,1,9,-0.367647111415863,0.521010279655457,246
25,2.92000007629395,2.6800000667572,20,27,78.125,75,0,1,7,0.262605011463165,0.985765397548676,247
28,2.28999996185303,2.46000003814697,19,19,87.5,100,0,1,4,-1.41806697845459,0.311528772115707,248
30,2.96000003814697,2.33999991416931,24,25,93.75,100,0,1,2,-0.157563000917435,0.816526591777802,249
24,2.0699999332428,2.61999988555908,25,21,75,100,1,0,8,-0.997899174690247,0.493427991867065,250
30,1.79999995231628,2.60999989509583,20,30,93.75,100,0,0,2,0.892857074737549,0.0894833952188492,251
32,3.73000001907349,3.80999994277954,32,38,100,87.5,0,1,0,2.57352900505066,0.572524666786194,252
28,2.30999994277954,2.42000007629395,18,19,87.5,100,1,0,4,-1.41806697845459,0.894881427288055,253
29,2.39000010490418,2.45000004768372,20,25,90.625,100,0,1,3,-0.157563000917435,0.690571844577789,254
25,2.96000003814697,2.9300000667572,28,35,78.125,100,0,1,7,1.94327700138092,0.116620779037476,255
31,3.61999988555908,3.48000001907349,24,32,96.875,100,0,1,1,1.31302499771118,0.785174548625946,256
31,3.11999988555908,2.96000003814697,22,29,96.875,100,0,1,1,0.682773113250732,0.599589765071869,257
30,2.30999994277954,2.35999989509583,19,30,93.75,100,0,1,2,0.892857074737549,0.342692494392395,258
23,1.71000003814697,2.89000010490418,24,22,71.875,100,0,1,9,-0.78781521320343,0.721761822700501,259
32,2.4300000667572,2.58999991416931,16,21,100,87.5,0,1,0,-0.997899174690247,0.16910807788372,260
32,2.54999995231628,2.5699999332428,15,20,100,100,1,0,0,-1.20798301696777,0.178877040743828,261
30,2.76999998092651,2.52999997138977,24,29,93.75,100,0,1,2,0.682773113250732,0.0731201842427254,262
28,3.40000009536743,3.66000008583069,29,26,87.5,100,0,1,4,0.052521001547575,0.832078993320465,263
26,2.5,2.09999990463257,17,21,81.25,87.5,0,0,6,-0.997899174690247,0.494181513786316,264
24,3,1.80999994277954,22,30,75,75,0,1,8,0.892857074737549,0.235050454735756,265
28,2.25,2.39000010490418,16,19,87.5,100,0,0,4,-1.41806697845459,0.566476881504059,266
15,2.5,2.02999997138977,26,24,46.875,50,0,1,17,-0.367647111415863,0.0622542575001717,267
28,2.04999995231628,2.58999991416931,22,24,87.5,87.5,0,1,4,-0.367647111415863,0.811397612094879,268
27,2.73000001907349,1.85000002384186,23,25,84.375,87.5,1,0,5,-0.157563000917435,0.343977570533752,269
28,3.29999995231628,3.53999996185303,26,33,87.5,25,0,0,4,1.523108959198,0.410391092300415,270
31,2.78999996185303,2.5699999332428,19,31,96.875,100,0,1,1,1.10294103622437,0.961873590946198,271
